cities,state,country,country_code
Alexander City,Alabama,USA,US
Andalusia,Alabama,USA,US
Anniston,Alabama,USA,US
Athens,Alabama,USA,US
Atmore,Alabama,USA,US
Auburn,Alabama,USA,US
Bessemer,Alabama,USA,US
Birmingham,Alabama,USA,US
Chickasaw,Alabama,USA,US
Clanton,Alabama,USA,US
Cullman,Alabama,USA,US
Decatur,Alabama,USA,US
Demopolis,Alabama,USA,US
Dothan,Alabama,USA,US
Enterprise,Alabama,USA,US
Eufaula,Alabama,USA,US
Florence,Alabama,USA,US
Fort Payne,Alabama,USA,US
Gadsden,Alabama,USA,US
Greenville,Alabama,USA,US
Guntersville,Alabama,USA,US
Huntsville,Alabama,USA,US
Jasper,Alabama,USA,US
Marion,Alabama,USA,US
Mobile,Alabama,USA,US
Montgomery,Alabama,USA,US
Opelika,Alabama,USA,US
Ozark,Alabama,USA,US
Phenix City,Alabama,USA,US
Prichard,Alabama,USA,US
Scottsboro,Alabama,USA,US
Selma,Alabama,USA,US
Sheffield,Alabama,USA,US
Sylacauga,Alabama,USA,US
Talladega,Alabama,USA,US
Troy,Alabama,USA,US
Tuscaloosa,Alabama,USA,US
Tuscumbia,Alabama,USA,US
Tuskegee,Alabama,USA,US
Anchorage,Alaska,USA,US
Cordova,Alaska,USA,US
Fairbanks,Alaska,USA,US
Haines,Alaska,USA,US
Homer,Alaska,USA,US
Juneau,Alaska,USA,US
Ketchikan,Alaska,USA,US
Kodiak,Alaska,USA,US
Kotzebue,Alaska,USA,US
Nome,Alaska,USA,US
Palmer,Alaska,USA,US
Seward,Alaska,USA,US
Sitka,Alaska,USA,US
Skagway,Alaska,USA,US
Valdez,Alaska,USA,US
Ajo,Arizona,USA,US
Avondale,Arizona,USA,US
Bisbee,Arizona,USA,US
Casa Grande,Arizona,USA,US
Chandler,Arizona,USA,US
Clifton,Arizona,USA,US
Douglas,Arizona,USA,US
Flagstaff,Arizona,USA,US
Florence,Arizona,USA,US
Gila Bend,Arizona,USA,US
Glendale,Arizona,USA,US
Globe,Arizona,USA,US
Kingman,Arizona,USA,US
Lake Havasu City,Arizona,USA,US
Mesa,Arizona,USA,US
Nogales,Arizona,USA,US
